qw,qx,qy,qz,Eye X,Eye Y
-0.009323008,-0.003291375,-0.8780363999999999,0.4784917,0.5113397,0.28813259999999996
-0.03209614,-0.004338222,-0.8768681999999999,0.4796385,0.5090603,0.2891232
-0.03209614,-0.004338222,-0.8768681999999999,0.4796385,0.3899911,0.3254578
-0.05945463,-0.005150152,-0.8747115,0.4809557,0.3080055,0.3425313
-0.08640164,-0.006918275,-0.8714249,0.48281009999999996,0.3080055,0.3425313
-0.10970070000000001,-0.008509973,-0.8679979999999999,0.48422390000000004,0.17190260000000002,0.2511348
-0.10970070000000001,-0.008509973,-0.8679979999999999,0.48422390000000004,0.1811339,0.249755
-0.1288487,-0.009722425,-0.8652284,0.48444129999999996,0.19599660000000002,0.2536271
-0.1425658,-0.010251,-0.8635560999999999,0.48357089999999997,0.2051436,0.2487556
-0.15314170000000002,-0.01287393,-0.8625520000000001,0.4820642,0.2520638,0.2607452
-0.15314170000000002,-0.01287393,-0.8625520000000001,0.4820642,0.289062,0.2610058
-0.1622031,-0.01801499,-0.8615886999999999,0.48065630000000004,0.3403555,0.2630555
-0.16993670000000002,-0.02331223,-0.8604046000000001,0.47987709999999995,0.3403555,0.2630555
-0.1753376,-0.02783176,-0.8594168,0.4794630999999999,0.364485,0.266071
-0.1753376,-0.02783176,-0.8594168,0.4794630999999999,0.38120479999999995,0.2679283
-0.1791887,-0.03375879,-0.8587703999999999,0.47881660000000004,0.38120479999999995,0.2679283
-0.18308470000000002,-0.04014453,-0.8581322,0.47799319999999995,0.3931028,0.2692033
-0.18655220000000003,-0.04528274,-0.8574088,0.47749129999999995,0.39804290000000003,0.2695038
-0.18655220000000003,-0.04528274,-0.8574088,0.47749129999999995,0.39804290000000003,0.2695038
-0.18925150000000002,-0.05094494,-0.8569599,0.47666359999999997,0.40296329999999997,0.27020109999999997
-0.19175970000000003,-0.05701487,-0.8568203000000001,0.47522250000000005,0.4094477,0.2705263
-0.1931453,-0.06139105,-0.8572586,0.473322,0.4113733,0.270663
-0.1931453,-0.06139105,-0.8572586,0.473322,0.4176137,0.2718869
-0.1925312,-0.0637837,-0.8583665,0.4712433,0.4182869000000001,0.2717933
-0.189916,-0.06551458,-0.8600773000000002,0.4689423,0.42250649999999995,0.27207919999999997
-0.1876217,-0.06850196,-0.8622316999999999,0.46546980000000004,0.42911000000000005,0.27243779999999995
-0.1876217,-0.06850196,-0.8622316999999999,0.46546980000000004,0.43055329999999997,0.2728326
-0.1850464,-0.07109724,-0.8651285,0.46071229999999996,0.4318089,0.2729275
-0.17997960000000002,-0.07203979,-0.8688290000000001,0.4555807,0.43137970000000003,0.2733735
-0.17997960000000002,-0.07203979,-0.8688290000000001,0.4555807,0.43152399999999996,0.2731848
-0.1725428,-0.0732668,-0.8732968000000001,0.4496818,0.4336457,0.2728733
-0.16332779999999997,-0.07600129,-0.8790268,0.44142929999999997,0.43719009999999997,0.2730466
-0.1537605,-0.07872352,-0.8857451999999999,0.43083140000000003,0.43719009999999997,0.2730466
-0.1427993,-0.08106728,-0.8937936,0.4173361,0.44250559999999994,0.27320700000000003
-0.1427993,-0.08106728,-0.8937936,0.4173361,0.33151590000000003,0.3261752
-0.13059189999999998,-0.08380365,-0.9030355,0.4005617,0.33151590000000003,0.3261752
-0.1172155,-0.08612612,-0.9136046999999998,0.3796963,0.5469987,0.31797159999999997
-0.1172155,-0.08612612,-0.9136046999999998,0.3796963,0.5932706999999999,0.3424969
-0.1032935,-0.08621389,-0.9244046,0.3568946,0.5932706999999999,0.3424969
-0.0886597,-0.08643371,-0.934967,0.33242350000000004,0.6554813,0.3743619
-0.07381198,-0.08579633,-0.9447853,0.30752490000000005,0.6594405,0.3751033
-0.07381198,-0.08579633,-0.9447853,0.30752490000000005,0.6805745,0.3801751
-0.05903687,-0.08350377,-0.9537384,0.2827098,0.6900569999999999,0.38033979999999995
-0.04458592,-0.08104348,-0.9615659,0.2585251,0.6906121000000001,0.3802217
-0.03013382,-0.07876837,-0.9681773000000001,0.23562729999999996,0.6872479,0.37667979999999995
-0.03013382,-0.07876837,-0.9681773000000001,0.23562729999999996,0.6753416999999999,0.37358559999999996
-0.01555235,-0.0766794,-0.9737299999999999,0.2138417,0.6663004,0.3668174
-0.0009689030999999999,-0.07503274,-0.9783888000000001,0.1926774,0.6453576,0.3533119
0.0133286,-0.07257488,-0.9824558000000001,0.1712769,0.6453576,0.3533119
0.0133286,-0.07257488,-0.9824558000000001,0.1712769,0.6250784,0.3484948
0.02691533,-0.06961477,-0.9859976,0.1491246,0.6250784,0.3484948
0.03965914,-0.06602729,-0.9890540000000001,0.1258558,0.6053159,0.3452587
0.05202287,-0.06259744,-0.9914246999999999,0.1022365,0.6053159,0.3452587
0.05202287,-0.06259744,-0.9914246999999999,0.1022365,0.5873433000000001,0.3392687
0.06379584,-0.05890484,-0.9931558000000001,0.07811461,0.5688935,0.3299688
0.07585549,-0.05410511,-0.9942116,0.05349801,0.5688935,0.3299688
0.08849627,-0.0496241,-0.9944576999999999,0.02756601,0.5781310000000001,0.3483525
0.08849627,-0.0496241,-0.9944576999999999,0.02756601,0.5781310000000001,0.3483525
0.1002424,-0.04597143,-0.9938971,0.002577968,0.5781310000000001,0.3483525
0.11040019999999999,-0.04244661,-0.9927676,-0.02055825,0.5906996,0.4428393
0.1188769,-0.03912787,-0.9913363000000002,-0.03987068,0.5864693,0.444383
0.1188769,-0.03912787,-0.9913363000000002,-0.03987068,0.5657521,0.4428715999999999
0.1264542,-0.03615136,-0.9897388,-0.05585381,0.5455985999999999,0.42653279999999993
0.132511,-0.03361015,-0.9881984,-0.06910226,0.5455985999999999,0.42653279999999993
0.132511,-0.03361015,-0.9881984,-0.06910226,0.5201191,0.39555999999999997
0.1369335,-0.03244086,-0.9867826,-0.08035528,0.5116821,0.39112909999999995
0.14042179999999999,-0.03201292,-0.9854495999999999,-0.09025488,0.5095742999999999,0.3901657
0.1433533,-0.0313476,-0.9842045,-0.09903883,0.5075223,0.3899599
0.1433533,-0.0313476,-0.9842045,-0.09903883,0.5020899999999999,0.38586659999999995
0.14610220000000002,-0.03074621,-0.9828566999999999,-0.10817370000000001,0.5020899999999999,0.38586659999999995
0.1486211,-0.03033269,-0.9813594999999999,-0.1180047,0.49954440000000006,0.38724190000000003
0.1502775,-0.02963746,-0.9799023000000001,-0.1277884,0.46614279999999997,0.39361
0.1502775,-0.02963746,-0.9799023000000001,-0.1277884,0.46614279999999997,0.39361
0.1511555,-0.02968116,-0.9786285,-0.1362253,0.4598133,0.43658040000000004
0.15095379999999997,-0.02929586,-0.9777372,-0.1427746,0.4527968,0.4260683
0.1504453,-0.02980441,-0.9769559000000001,-0.1484424,0.4527968,0.4260683
0.1504453,-0.02980441,-0.9769559000000001,-0.1484424,0.448622,0.416835
0.1495572,-0.03078085,-0.9762708000000001,-0.15355970000000002,0.44630929999999996,0.4128035
0.14831760000000002,-0.03182923,-0.9757615,-0.15772879999999997,0.44583019999999995,0.41220249999999997
0.1468555,-0.03216408,-0.9753304,-0.1616466,0.44568599999999997,0.4082183
0.1468555,-0.03216408,-0.9753304,-0.1616466,0.44546579999999997,0.40737080000000003
0.14564860000000002,-0.03256052,-0.9750299000000001,-0.16444720000000002,0.4453583,0.4077573
0.1443109,-0.03240363,-0.9747365,-0.1673716,0.446036,0.4093987
0.14285710000000001,-0.0309202,-0.9742082000000001,-0.1719133,0.446036,0.4093987
0.14285710000000001,-0.0309202,-0.9742082000000001,-0.1719133,0.44662250000000003,0.41216899999999995
0.1410055,-0.02978541,-0.9733645000000001,-0.1783024,0.44692740000000003,0.41219279999999997
0.1385932,-0.029589400000000002,-0.9723596999999999,-0.1855612,0.44705159999999994,0.4129806
0.1367888,-0.02752652,-0.9715304,-0.1914678,0.4467554,0.4131035
0.1367888,-0.02752652,-0.9715304,-0.1914678,0.4467554,0.4131035
0.13691760000000003,-0.02494509,-0.9712120000000001,-0.1933354,0.4510767,0.4058364
0.1371179,-0.02201365,-0.9710019,-0.1946006,0.45536570000000004,0.39450250000000003
0.1371179,-0.02201365,-0.9710019,-0.1946006,0.45536570000000004,0.39450250000000003
0.1325771,-0.01511702,-0.9707136999999999,-0.1997743,0.46231229999999995,0.39295559999999996
0.1259029,-0.006154572,-0.9702594999999999,-0.2066569,0.46231229999999995,0.39295559999999996
0.12461199999999999,-0.008824594,-0.9687351000000001,-0.214351,0.4722456,0.3981087
0.12461199999999999,-0.008824594,-0.9687351000000001,-0.214351,0.48220630000000003,0.3958472
0.1252858,-0.0202416,-0.9667254999999999,-0.2221162,0.48220630000000003,0.3958472
0.1231019,-0.03740773,-0.9640315,-0.2325724,0.4912138,0.385949
0.1210442,-0.05322448,-0.9614815999999999,-0.24097449999999998,0.4905568,0.3861225
0.1210442,-0.05322448,-0.9614815999999999,-0.24097449999999998,0.49100950000000004,0.3841945
0.12194160000000001,-0.0555975,-0.9602938,-0.24469380000000002,0.49284970000000006,0.36777150000000003
0.1231482,-0.03804953,-0.9600515,-0.2483703,0.49284970000000006,0.36777150000000003
0.12265530000000001,-0.01366315,-0.9606046,-0.24901379999999998,0.48866570000000004,0.33901390000000003
0.12265530000000001,-0.01366315,-0.9606046,-0.24901379999999998,0.469272,0.34114079999999997
0.130911,-0.01516082,-0.9608243000000001,-0.24382199999999998,0.469272,0.34114079999999997
0.1409111,-0.02966761,-0.9613216999999998,-0.2347861,0.45888450000000003,0.33067979999999997
0.1452203,-0.03325089,-0.9616975,-0.23009429999999997,0.45888450000000003,0.33067979999999997
0.1452203,-0.03325089,-0.9616975,-0.23009429999999997,0.45232510000000004,0.32867340000000006
0.1433431,-0.02570008,-0.9616046999999999,-0.23261260000000003,0.44152109999999994,0.3342535
0.1391034,-0.02607966,-0.9609214,-0.2379078,0.439751,0.33802990000000005
0.1338623,-0.03323542,-0.9608561999999999,-0.24027420000000002,0.43211759999999994,0.3687413
0.1338623,-0.03323542,-0.9608561999999999,-0.24027420000000002,0.4322974,0.3837422
0.1295856,-0.03563011,-0.9619042999999999,-0.23807179999999997,0.43311320000000003,0.38238190000000005
0.1276005,-0.03454503,-0.9628681999999998,-0.23539259999999998,0.44413290000000005,0.3674263
0.12532269999999998,-0.03459569,-0.9631146,-0.2356009,0.46045420000000004,0.3602843
0.12532269999999998,-0.03459569,-0.9631146,-0.2356009,0.46774440000000006,0.365438
0.12171780000000001,-0.03585025,-0.9630156999999999,-0.237698,0.46774440000000006,0.365438
0.1191721,-0.03613632,-0.9629426999999999,-0.2392353,0.4742721,0.3755662
0.1191721,-0.03613632,-0.9629426999999999,-0.2392353,0.4742721,0.3755662
0.1189558,-0.03532243,-0.9632304,-0.23830460000000003,0.4802567,0.37390890000000004
0.12047000000000001,-0.03591669,-0.9638636,-0.23487039999999998,0.48217139999999997,0.371089
0.12174360000000002,-0.03624913,-0.9646449,-0.2309214,0.4867095,0.36671509999999996
