x,y,z,qw,qx,qy,qz
-0.632982,1.556506,-1.005059,0.2125116,-0.003852474,0.9725906,0.09429535
-0.6341836,1.55648,-1.004041,0.2189628,-0.004116141,0.9711641,0.09422666
-0.6348004,1.556429,-1.003677,0.2221743,-0.004319289,0.9704387,0.09417375
-0.6364113,1.556328,-1.002731,0.2286775,-0.004606436,0.968986,0.09354968
-0.6372173,1.556314,-1.002314,0.2319649,-0.004855269,0.9681994,0.09358821
-0.639217,1.556204,-1.001531,0.2387792,-0.00584027,0.9665092,0.09386382
-0.6402309,1.55623,-1.001269,0.2422156,-0.006350003,0.9656147,0.09423148
-0.6427381,1.556252,-1.000583,0.2492769,-0.007635984,0.9637344,0.09496733
-0.6440958,1.556257,-1.000252,0.2529634,-0.008294496,0.9627073,0.09557856
-0.6465131,1.556522,-0.9999158,0.2602139,-0.009761047,0.9606497,0.09667229
-0.6480312,1.556641,-0.9996667,0.2640272,-0.01064254,0.959504,0.09761421
-0.6504893,1.557338,-0.9996915,0.2716772,-0.01299633,0.9571694,0.09924421
-0.6521995,1.557769,-0.9996736,0.2756166,-0.01467639,0.9558908,0.1004637
-0.6537478,1.558325,-0.9996929,0.27957,-0.0165296,0.954568,0.1018198
-0.6576805,1.559845,-0.9998059,0.2883199,-0.02127703,0.9514991,0.1052065
-0.6611116,1.5614,-1.000071,0.295532,-0.02584606,0.9488588,0.1079801
-0.6631603,1.562152,-1.000304,0.2993621,-0.02841303,0.9474218,0.1093937
-0.6670359,1.563715,-1.000786,0.3065571,-0.03324708,0.9447037,0.1115899
-0.6691673,1.564448,-1.000968,0.3100389,-0.03573639,0.9433724,0.1124608
-0.6733981,1.565828,-1.00147,0.3165273,-0.04058613,0.9407967,0.1143012
-0.6754624,1.566424,-1.001694,0.319683,-0.04283242,0.9394968,0.1153864
-0.6795144,1.567506,-1.002372,0.3258557,-0.04666616,0.9369655,0.1172003
-0.6815619,1.567887,-1.002738,0.328823,-0.04832612,0.9357197,0.1181897
-0.6857498,1.568487,-1.003428,0.3345122,-0.05142291,0.9333328,0.1197797
-0.6878335,1.568569,-1.003753,0.3372198,-0.05279439,0.9322125,0.1203133
-0.6920052,1.568658,-1.004486,0.3423551,-0.0554128,0.9301347,0.1207138
-0.6940832,1.568676,-1.004688,0.3449529,-0.05658522,0.9290749,0.1209358
-0.6978498,1.568663,-1.005521,0.3495736,-0.05865768,0.927241,0.1207551
-0.6997404,1.568495,-1.005964,0.3519101,-0.05947531,0.9263194,0.1206411
-0.7033987,1.568381,-1.006887,0.3563653,-0.06022794,0.9246334,0.1201222
-0.7052999,1.568257,-1.007365,0.3586716,-0.06065814,0.9237742,0.1196519
-0.7088218,1.567961,-1.008243,0.3631954,-0.06152247,0.9221551,0.1180427
-0.7106502,1.567757,-1.0087,0.3655288,-0.0617794,0.921332,0.1171298
-0.7141266,1.567261,-1.009504,0.3700416,-0.06217946,0.9198239,0.1145726
-0.7158828,1.566978,-1.009683,0.3723661,-0.06250596,0.9190186,0.1133197
-0.7191136,1.566428,-1.01039,0.3767564,-0.06297883,0.9175307,0.1105705
-0.7207253,1.566165,-1.010728,0.3789553,-0.06324055,0.9167711,0.1091989
-0.7236676,1.565792,-1.011349,0.3834346,-0.0637941,0.9151004,0.107236
-0.7250531,1.565595,-1.011698,0.3857915,-0.06405877,0.9141389,0.1068246
-0.7278559,1.565403,-1.012167,0.3907276,-0.06438825,0.9120498,0.1065419
-0.7291675,1.565355,-1.012232,0.3933693,-0.06463851,0.9109073,0.1064443
-0.7316684,1.565132,-1.012533,0.3987272,-0.06540259,0.9086297,0.1055052
-0.7328525,1.565024,-1.012549,0.4015411,-0.06580812,0.9074301,0.1049029
