TimeStamp, LeftEye X,LeftEye Y,RightEye X,RightEye Y,Eye X,Eye Y,x,y,z,qx,qy,qz,qw,pitch,yaw,roll
2019-07-24 17:48:43.496,0.6100436,0.2812958,0.5571922,0.4317108,0.5836179,0.3565033,-0.3928953,1.550698,-0.2938554,-0.06354086,0.9927478,-0.05856628,0.08357316,6.065335,169.959,352.1422
2019-07-24 17:48:43.513,0.5937669,0.298883,0.5553746,0.4305439,0.5745708,0.3647134,-0.3928953,1.550698,-0.2938554,-0.06354086,0.9927478,-0.05856628,0.08357316,6.065335,169.959,352.1422
2019-07-24 17:48:43.529,0.5883824,0.3045521,0.5551975,0.4305964,0.5717899,0.3675742,-0.392954,1.550839,-0.2937233,-0.06347609,0.9927637,-0.05817262,0.08370784,6.020048,169.9474,352.1532
2019-07-24 17:48:43.546,0.5883824,0.3045521,0.5491107,0.4428991,0.5687466,0.3737256,-0.3930349,1.551005,-0.2935145,-0.06398243,0.9927843,-0.05751067,0.08353561,5.940853,169.9702,352.1033
2019-07-24 17:48:43.563,0.5883824,0.3045521,0.5491107,0.4428991,0.5687466,0.3737256,-0.3931677,1.551227,-0.2934952,-0.06419599,0.9928119,-0.05674287,0.08356834,5.850924,169.9721,352.0869
2019-07-24 17:48:43.580,0.5883824,0.3045521,0.488279,0.5356866,0.5383307,0.4201193,-0.3931677,1.551227,-0.2934952,-0.06419599,0.9928119,-0.05674287,0.08356834,5.850924,169.9721,352.0869
2019-07-24 17:48:43.596,0.5883824,0.3045521,0.488279,0.5356866,0.5383307,0.4201193,-0.3931655,1.551345,-0.2932363,-0.06407738,0.9928743,-0.05599223,0.08342441,5.76769,169.9961,352.1096
2019-07-24 17:48:43.614,0.8078374,0.6538208,0.488279,0.5356866,0.6480582,0.5947537,-0.3931222,1.551445,-0.2931838,-0.06433383,0.9928827,-0.05575274,0.08328784,5.738905,170.0125,352.0835
2019-07-24 17:48:43.630,0.8078374,0.6538208,-1.432603,1.289401,-0.3123828,0.9716108,-0.393118,1.551523,-0.2932255,-0.064473,0.9929036,-0.05536101,0.08319125,5.693629,170.0264,352.0724
2019-07-24 17:48:43.647,0.8078374,0.6538208,-1.492555,1.304462,-0.3423589,0.9791416,-0.393118,1.551523,-0.2932255,-0.064473,0.9929036,-0.05536101,0.08319125,5.693629,170.0264,352.0724
2019-07-24 17:48:43.663,0.7228225,0.4550937,0.9856946,0.4535213,0.8542585,0.4543075,-0.3931144,1.551523,-0.2931802,-0.06463032,0.9928992,-0.05530297,0.08316071,5.685685,170.0295,352.0551
2019-07-24 17:48:43.681,0.7228225,0.4550937,0.9856946,0.4535213,0.8542585,0.4543075,-0.3931947,1.551487,-0.2929778,-0.06458258,0.992883,-0.05538967,0.08333272,5.694673,170.0092,352.0587
2019-07-24 17:48:43.696,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3931792,1.551405,-0.2927632,-0.06444955,0.9928575,-0.05583313,0.08344441,5.745665,169.9931,352.0685
2019-07-24 17:48:43.714,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3931792,1.551405,-0.2927632,-0.06444955,0.9928575,-0.05583313,0.08344441,5.745665,169.9931,352.0685
